"","p_value","FDR","log2FC","linearFC"
"MEAF6",0.242880275389248,0.438447794212332,0.0474897644977119,1.03346516773797
"FBRS",0.643802647306513,0.784409835574886,-0.0237086296594597,0.983700724652739
"SAP30L",0.605892840831441,0.76094642290497,1.35221382769709,2.55303590544806
"NMNAT1",0.0193485725453604,0.0798933994506709,0.0932861151605557,1.06679732701135
"MLXIP",0.946821909994755,0.976287074637404,0.00390727389919654,1.00271198668752
"C17orf75",0.185538403292687,0.368197452121083,-0.0474177944596903,0.967666756744353
"SIAE",0.139562402345705,0.306214128900066,-0.0789876778410772,0.946721717218371
"PLEKHA5",0.631179002412933,0.775029100637276,0.0144764501480097,1.01008482311062
"SMURF2",0.722203530103736,0.840397225987342,0.0261318689880081,1.01827827084658
"UPF2",0.169924976930303,0.347753441159689,-0.0185329463783788,0.987236098912712
"RNPEPL1",0.687255337650752,0.813964932465087,0.0491280608916203,1.03463941725838
"XPO5",0.000576815903426328,0.00684916913146667,0.116387505672023,1.08401709307116
"GRPEL1",0.0741337154700623,0.199173015329659,-0.0385269070003744,0.973648603661831
"CLSPN",0.0829973562653781,0.2140719709032,0.088223229133451,1.0630601496156
"CLK4",0.392021796101063,0.582375454581793,-1.00625351320877,0.49783738789612
"MYG1",0.00258519248686332,0.0191989249659614,0.0637876585739789,1.04520625139204
"BCL2L12",0.0282359118832196,0.10388998291602,0.237685300887343,1.17909936395839
"PLEKHA2",0.399105671374384,0.588519065680713,-0.0179572752129289,0.987630109249046
"PLEKHA3",0.645219714880807,0.785668523520982,0.0364310329537094,1.02557360200338
"PLEKHA1",0.318213430351077,0.517333872465874,0.0326111748873004,1.02286175800986
"SCPEP1",0.0236074032324561,0.0922706869901378,0.0564486352824005,1.03990276375464
"SP110",0.271888601516293,0.468902920526934,0.117148912817305,1.08458935275115
"CACYBP",0.0157571192483727,0.0689974659864539,0.0426248566200798,1.02998609194873
"RRAGC",0.00607368143599444,0.034955702441757,0.0661969484171614,1.04695319623941
"FANCE",0.927170549314561,0.964534092018449,-0.00802985080859386,0.994449592300035
"RC3H2",0.998656347019891,0.999374978481852,-0.000194971296821222,0.999864865326831
"PATZ1",0.292121562121984,0.489984877699763,-0.0819483851731704,0.944780841506555
"ZFYVE1",0.0265146681971161,0.099448233054628,0.160888360645682,1.11797533588798
"IFT122",0.00380653143109247,0.025368610123828,0.1881324816159,1.13928799239028
"PDF",0.248672243654403,0.445324648154844,-0.05839583836892,0.960331337612801
"RDH14",0.000149694655167837,0.0026925297975683,0.0846322046095835,1.06041736798525
"MKNK2",0.11883914856945,0.275144815296856,1.97779138634115,3.93889616613542
"CYP4F11",0.0174661111629797,0.074371828177849,-0.217475669541885,0.860069011362853
"PLGRKT",0.257576992893338,0.454508432479317,-0.0337219263393393,0.976896803742854
"NMRAL1",0.203697627317277,0.391237123202205,0.0412835242428979,1.02902891693277
